STATISTIC,Statistic,TLIST(A1),Year,C02039V02469,Type of Crop,UNIT,VALUE
AQA03C1,Area under Crops,1985,1985,1,"Total wheat, oats and barley",000 Hectares,386.2
AQA03C1,Area under Crops,1985,1985,11,Total wheat,000 Hectares,77.7
AQA03C1,Area under Crops,1985,1985,111,Winter wheat,000 Hectares,60.3
AQA03C1,Area under Crops,1985,1985,112,Spring wheat,000 Hectares,17.4
AQA03C1,Area under Crops,1985,1985,12,Total oats,000 Hectares,24.9
AQA03C1,Area under Crops,1985,1985,121,Winter oats,000 Hectares,9.1
AQA03C1,Area under Crops,1985,1985,122,Spring oats,000 Hectares,15.8
AQA03C1,Area under Crops,1985,1985,13,Total barley,000 Hectares,283.6
AQA03C1,Area under Crops,1985,1985,131,Winter barley,000 Hectares,35.5
AQA03C1,Area under Crops,1985,1985,132,Spring barley,000 Hectares,248.1
AQA03C1,Area under Crops,1985,1985,2,Beans and peas,000 Hectares,2.3
AQA03C1,Area under Crops,1985,1985,3,Oilseed rape,000 Hectares,0
AQA03C1,Area under Crops,1985,1985,4,Potatoes,000 Hectares,32.1
AQA03C1,Area under Crops,1985,1985,5,Turnips,000 Hectares,8.7
AQA03C1,Area under Crops,1985,1985,61,Sugar beet,000 Hectares,33.9
AQA03C1,Area under Crops,1985,1985,62,Fodder beet,000 Hectares,5.7
AQA03C1,Area under Crops,1985,1985,7,Kale and field cabbage,000 Hectares,3.7
AQA03C1,Area under Crops,1986,1986,1,"Total wheat, oats and barley",000 Hectares,362.6
AQA03C1,Area under Crops,1986,1986,11,Total wheat,000 Hectares,74.6
AQA03C1,Area under Crops,1986,1986,111,Winter wheat,000 Hectares,57
AQA03C1,Area under Crops,1986,1986,112,Spring wheat,000 Hectares,17.6
AQA03C1,Area under Crops,1986,1986,12,Total oats,000 Hectares,23
AQA03C1,Area under Crops,1986,1986,121,Winter oats,000 Hectares,8.8
AQA03C1,Area under Crops,1986,1986,122,Spring oats,000 Hectares,14.2
AQA03C1,Area under Crops,1986,1986,13,Total barley,000 Hectares,265
AQA03C1,Area under Crops,1986,1986,131,Winter barley,000 Hectares,33.9
AQA03C1,Area under Crops,1986,1986,132,Spring barley,000 Hectares,231.1
AQA03C1,Area under Crops,1986,1986,2,Beans and peas,000 Hectares,2.4
AQA03C1,Area under Crops,1986,1986,3,Oilseed rape,000 Hectares,0
AQA03C1,Area under Crops,1986,1986,4,Potatoes,000 Hectares,29.5
AQA03C1,Area under Crops,1986,1986,5,Turnips,000 Hectares,8.9
AQA03C1,Area under Crops,1986,1986,61,Sugar beet,000 Hectares,37
AQA03C1,Area under Crops,1986,1986,62,Fodder beet,000 Hectares,6.4
AQA03C1,Area under Crops,1986,1986,7,Kale and field cabbage,000 Hectares,3.5
AQA03C1,Area under Crops,1987,1987,1,"Total wheat, oats and barley",000 Hectares,334.3
AQA03C1,Area under Crops,1987,1987,11,Total wheat,000 Hectares,56.1
AQA03C1,Area under Crops,1987,1987,111,Winter wheat,000 Hectares,38.3
AQA03C1,Area under Crops,1987,1987,112,Spring wheat,000 Hectares,17.8
AQA03C1,Area under Crops,1987,1987,12,Total oats,000 Hectares,22.9
