Year,Code,Crop,CropArea,Yield_ha,Yield
1985,1,"Total wheat, oats and barley",386.2,5.1,1986
1985,11,Total wheat,77.7,6.4,495
1985,111,Winter wheat,60.3,6.5,395
1985,112,Spring wheat,17.4,5.8,100
1985,12,Total oats,24.9,5.1,126
1985,121,Winter oats,9.1,6.2,56
1985,122,Spring oats,15.8,4.4,70
1985,13,Total barley,283.6,4.8,1365
1985,131,Winter barley,35.5,5.2,185
1985,132,Spring barley,248.1,4.8,1179
1985,2,Beans and peas,2.3,0,0
1985,3,Oilseed rape,0,0,0
1985,4,Potatoes,32.1,20.8,668
1985,5,Turnips,8.7,53.5,466
1985,61,Sugar beet,33.9,38.7,1309
1985,62,Fodder beet,5.7,56.8,324
1985,7,Kale and field cabbage,3.7,44.2,162
1986,1,"Total wheat, oats and barley",362.6,5.2,1880
1986,11,Total wheat,74.6,5.5,412
1986,111,Winter wheat,57,5.6,317
1986,112,Spring wheat,17.6,5.4,95
1986,12,Total oats,23,5.4,124
1986,121,Winter oats,8.8,6.4,56
1986,122,Spring oats,14.2,4.8,68
1986,13,Total barley,265,5.1,1344
1986,131,Winter barley,33.9,5.2,177
1986,132,Spring barley,231.1,5,1167
1986,2,Beans and peas,2.4,0,0
1986,3,Oilseed rape,0,0,0
1986,4,Potatoes,29.5,20.3,601
1986,5,Turnips,8.9,51.6,462
1986,61,Sugar beet,37,34.4,1274
1986,62,Fodder beet,6.4,51.1,325
1986,7,Kale and field cabbage,3.5,43.1,150
1987,1,"Total wheat, oats and barley",334.3,6,2005
1987,11,Total wheat,56.1,6.9,387
1987,111,Winter wheat,38.3,7.3,278
1987,112,Spring wheat,17.8,6.2,110
1987,12,Total oats,22.9,5.8,133
1987,121,Winter oats,9,7,63
1987,122,Spring oats,13.9,5,70
1987,13,Total barley,255.3,5.8,1485
1987,131,Winter barley,33.6,6.3,211
1987,132,Spring barley,221.7,5.7,1274
1987,2,Beans and peas,2.3,0,0
1987,3,Oilseed rape,0,0,0
1987,4,Potatoes,29.2,23,671
1987,5,Turnips,8.9,56.8,505
1987,61,Sugar beet,37.1,43.7,1623
1987,62,Fodder beet,6.4,64.8,414
1987,7,Kale and field cabbage,2.9,52.1,153
1988,1,"Total wheat, oats and barley",323.6,6.4,2077
1988,11,Total wheat,58.6,7.8,455
1988,111,Winter wheat,37.2,8.2,305
1988,112,Spring wheat,21.4,7,150
1988,12,Total oats,22.6,6.5,147
1988,121,Winter oats,9.6,7.7,74
1988,122,Spring oats,13,5.6,73
1988,13,Total barley,242.5,6.1,1475
1988,131,Winter barley,28,6.4,179
1988,132,Spring barley,214.5,6,1297
1988,2,Beans and peas,2.6,0,0
1988,3,Oilseed rape,4.7,0,0
1988,4,Potatoes,27.1,24.8,671
1988,5,Turnips,8.1,51.9,422
1988,61,Sugar beet,33.3,40.1,1334
1988,62,Fodder beet,6.9,63.4,438
1988,7,Kale and field cabbage,2.5,39,98
1989,1,"Total wheat, oats and barley",319.6,6,1918
1989,11,Total wheat,60.7,7.6,459
1989,111,Winter wheat,43,8.1,350
1989,112,Spring wheat,17.7,6.2,109
1989,12,Total oats,22.4,6,134
1989,121,Winter oats,10.1,7.4,74
1989,122,Spring oats,12.3,4.9,60
1989,13,Total barley,236.5,5.6,1325
1989,131,Winter barley,24.9,6.6,163
1989,132,Spring barley,211.6,5.5,1162
1989,2,Beans and peas,2.7,0,0
1989,3,Oilseed rape,4.5,0,0
1989,4,Potatoes,24.7,22.4,554
1989,5,Turnips,8.1,57.6,465
